application_number,status
48850812,Approved
48851162,Approved
48851552,Approved
55450002,Approved
55450682,Approved
55451012,Approved
60377682,Refused
60395562,Refused
61602492,Approved
61603892,Approved
62008542,Approved
63611852,Approved
63690452,Approved
63837932,Refused
64859912,Approved
65305302,Refused
65363742,Approved
65364262,Approved
65364532,Approved
65458042,Approved
65459372,Approved
65460022,Approved
65611232,Refused
66141582,Refused
66147872,Refused
66322932,Approved
66329852,Refused
66331682,Approved
66333832,Refused
66695292,Approved
67033752,Refused
67036372,Refused
67063442,Approved
67436272,Approved
67682332,Approved
68306282,Approved
68590472,Refused
68852092,Refused
69677602,Refused
70185222,Refused
70185902,Refused
70609602,Approved
70867782,Approved
70868182,Approved
70868502,Approved
71103982,Refused
71221322,Approved
71667112,Refused
72062662,Approved
72287052,Approved
72398962,Approved
72399672,Approved
72458682,Refused
72504452,Refused
72504662,Refused
72504802,Refused
72524942,Refused
72527722,Refused
72571452,Approved
72629442,Approved
72768512,Approved
72975542,Approved
73227042,Refused
73327652,Refused
73407722,Approved
73443492,Approved
73445872,Approved
73491522,Approved
73491812,Approved
73564072,Approved
73564282,Approved
73564492,Approved
73586372,Approved
73820522,Approved
73822952,Approved
73874792,Approved
73892132,Approved
73894752,Approved
73976772,Approved
73992442,Approved
74006652,Approved
74036012,Approved
74037052,Approved
74037342,Approved
74037572,Approved
74055612,Approved
74055632,Approved
74140302,Approved
74141102,Approved
74176402,Refused
74180382,Approved
74221592,Approved
74221992,Approved
74378442,Approved
74379142,Approved
74441132,Approved
74565682,Refused
74586052,Refused
74586272,Refused
74592702,Refused
74624812,Approved
74666842,Approved
74667202,Approved
74728382,Refused
74783802,Refused
74812452,Refused
74813822,Refused
74814302,Refused
74912962,Refused
74990522,Refused
74993632,Refused
75049892,Approved
75355722,Refused
75600792,Approved
75690302,Refused
75825391,Approved
75825392,Refused
76331612,Approved
76405092,Refused
76431982,Approved
76503802,Refused
76588182,Refused
77040312,Refused
77184942,Approved
77369392,Refused
77441312,Approved
77511072,Approved
77520952,Approved
77589682,Refused
77636592,Approved
77695762,Approved
77774482,Approved
77851012,Approved
77865622,Approved
77928152,Approved
77997322,Approved
78007562,Refused
78081692,Approved
78086372,Approved
78098452,Refused
78098782,Refused
78113082,Approved
78148302,Approved
78295292,Approved
78298332,Approved
78300472,Approved
78323842,Approved
78340102,Refused
78429062,Refused
78431912,Approved
78432042,Approved
78436382,Approved
78452222,Approved
78473792,Refused
78500572,Approved
78503402,Refused
78534352,Approved
78561542,Approved
78590702,Approved
78598882,Refused
78620042,Approved
78620652,Approved
78621862,Approved
78656172,Approved
78656752,Approved
78668452,Refused
78681472,Refused
78687192,Approved
78687602,Approved
78690632,Refused
78716632,Approved
78742642,Refused
78757832,Approved
78758392,Approved
78759252,Approved
78764752,Refused
78768352,Approved
78799482,Approved
78809112,Refused
78812372,Approved
78825642,Refused
78831382,Approved
78831392,Approved
78835102,Approved
78846852,Approved
78854832,Approved
78855002,Approved
78863422,Approved
78869442,Approved
78877832,Approved
78878792,Approved
78880112,Approved
78882002,Approved
78886962,Approved
78887342,Approved
78887432,Approved
78890662,Approved
78898072,Approved
78898572,Approved
78898862,Approved
78905922,Refused
78923202,Approved
78933002,Approved
78937192,Approved
78937632,Refused
78940932,Refused
78941692,Approved
78942662,Approved
78947262,Approved
78951162,Approved
78951282,Approved
78951652,Approved
78954712,Approved
78958532,Approved
78960372,Refused
78960872,Approved
78960922,Approved
78960972,Approved
78961222,Approved
78961282,Approved
78961692,Approved
78962232,Approved
78963202,Approved
78972152,Approved
78972942,Approved
78987432,Approved
78987622,Approved
78987692,Approved
78988212,Approved
78989182,Approved
78989262,Approved
78989312,Approved
78989332,Approved
78989372,Approved
78994412,Approved
78998992,Approved
78999292,Approved
79016312,Approved
79016542,Approved
79017462,Approved
79017692,Approved
79017872,Approved
79017972,Approved
79018592,Approved
79021242,Approved
79028862,Approved
79029072,Approved
79039062,Approved
79039202,Approved
79039732,Approved
79048342,Approved
79053822,Approved
79054482,Approved
79059732,Approved
79067502,Refused
79067812,Refused
79069942,Approved
79083202,Approved
79083512,Refused
79090212,Approved
79093392,Approved
79094052,Approved
79097972,Approved
79102182,Approved
79103252,Approved
79103622,Refused
79108632,Approved
79114442,Refused
79119722,Refused
79120712,Approved
79121022,Approved
79121142,Approved
79121172,Approved
79121702,Approved
79121832,Approved
79121902,Approved
79122122,Approved
79128682,Approved
79129472,Approved
79129562,Approved
79130912,Approved
79133042,Approved
79139502,Approved
79141762,Approved
79143322,Approved
79143662,Approved
79143992,Approved
79145132,Approved
79147472,Approved
79148062,Approved
79148202,Approved
79148262,Approved
79148382,Approved
79148482,Approved
79148772,Approved
79149342,Approved
79149382,Refused
79152632,Approved
79153052,Approved
79153172,Approved
79153412,Approved
79154592,Approved
79154862,Approved
79154992,Approved
79155052,Approved
79155302,Approved
79158842,Approved
79158942,Approved
79159012,Approved
79166032,Approved
79166162,Approved
79166642,Approved
79168442,Approved
79175692,Approved
79177732,Approved
79177752,Approved
79178062,Approved
79178202,Approved
79181762,Approved
79182032,Approved
79184662,Approved
79192912,Approved
79193692,Approved
79199632,Approved
79200172,Approved
79201222,Approved
79205592,Approved
79207572,Approved
79207822,Approved
79207872,Approved
79207912,Approved
79207982,Approved
79208462,Approved
79212102,Approved
79213822,Approved
79214282,Approved
79219462,Approved
79219592,Approved
79219632,Approved
79219982,Approved
79220362,Approved
79231392,Approved
79233612,Approved
79233972,Approved
79238092,Approved
79252222,Approved
79253522,Approved
79254242,Approved
79255332,Refused
79257322,Approved
79261342,Approved
79263412,Approved
79264112,Approved
79265162,Approved
79265432,Approved
79265842,Approved
79266742,Approved
79267082,Approved
79267152,Approved
79267512,Approved
79267702,Approved
79272712,Approved
79275792,Approved
79277262,Approved
79284702,Approved
79287242,Approved
79287302,Approved
79287322,Approved
79287372,Approved
79287992,Approved
79289072,Refused
79291082,Refused
79291842,Approved
79293152,Approved
79293772,Approved
79294172,Approved
79295442,Approved
79298262,Refused
79298812,Approved
79305982,Approved
79306052,Approved
79307362,Approved
79308652,Approved
79313092,Refused
79316952,Approved
79317152,Approved
79317472,Approved
79318262,Approved
79318902,Approved
79319302,Approved
79319702,Approved
79321882,Approved
79325012,Approved
79329992,Approved
79335062,Refused
79335112,Approved
79337602,Refused
79337622,Approved
79338472,Approved
79338672,Approved
79338802,Approved
79338882,Approved
79340152,Approved
79342072,Approved
79342222,Approved
79342422,Approved
79342842,Approved
79343402,Approved
79344342,Approved
79344742,Approved
79344762,Approved
79345072,Approved
79345372,Approved
79345732,Approved
79345902,Approved
79346372,Approved
79346592,Approved
79346602,Approved
79346662,Approved
79349732,Refused
79352442,Approved
79353142,Refused
79360832,Approved
79361142,Approved
79361242,Approved
79362022,Approved
79364932,Approved
79365042,Approved
79367232,Approved
79368132,Approved
79368152,Approved
79370482,Approved
79370632,Approved
79373542,Approved
79374872,Refused
79375992,Refused
79377572,Approved
79377802,Refused
79379112,Approved
79379142,Refused
79382142,Approved
79382662,Approved
79384722,Refused
79384982,Approved
79386122,Approved
79394292,Approved
79394662,Refused
79396172,Refused
79403812,Approved
79404762,Approved
79408522,Approved
79409012,Approved
79409492,Approved
79409642,Approved
79409692,Approved
79411292,Approved
79411922,Approved
79412112,Approved
79412362,Approved
79412382,Refused
79412452,Approved
79412792,Approved
79412882,Approved
79417982,Approved
79419002,Approved
79419102,Approved
79419352,Approved
79421782,Approved
79421952,Approved
79422092,Approved
79422722,Approved
79425482,Approved
79426282,Approved
79428832,Approved
79430722,Approved
79431252,Approved
79432222,Approved
79433872,Approved
79435912,Approved
79437982,Approved
79438442,Approved
79438622,Approved
79439032,Approved
79440112,Approved
79442082,Approved
79442412,Approved
79443112,Approved
79443212,Approved
79444012,Approved
79444022,Approved
79444972,Approved
79445072,Approved
79446342,Approved
79446452,Approved
79446662,Approved
79447082,Approved
79462112,Approved
79463052,Approved
79463202,Approved
79463332,Approved
79464042,Approved
79464152,Approved
79465672,Approved
79465822,Approved
79465872,Approved
79466042,Approved
79466132,Approved
79466882,Approved
79467712,Approved
79467892,Approved
79468262,Approved
79469652,Approved
79470882,Approved
79470972,Approved
79471142,Approved
79471232,Approved
79471272,Approved
79471302,Approved
79471422,Approved
79471432,Approved
79471532,Approved
79471872,Approved
79472512,Approved
79477212,Approved
79479292,Approved
79479602,Approved
79480902,Approved
79486722,Approved
79486882,Approved
79486952,Approved
79487062,Approved
79487342,Approved
79487542,Approved
79487622,Approved
79487632,Approved
79487752,Approved
79487852,Refused
79488242,Approved
79488432,Refused
79488772,Approved
79489302,Approved
79490662,Approved
79490822,Refused
79490972,Approved
79491102,Approved
79491232,Approved
79492882,Approved
79495032,Approved
79495152,Approved
79495292,Approved
79495712,Approved
79496542,Approved
79498802,Approved
79503692,Approved
79504112,Approved
79506002,Approved
79506452,Approved
79508602,Approved
79509032,Approved
79509222,Approved
79509302,Refused
79509882,Approved
79509962,Approved
79511242,Approved
79513262,Approved
79513312,Approved
79513902,Approved
79514112,Approved
79515072,Approved
79515132,Approved
79515162,Approved
79516252,Approved
79516312,Approved
79516382,Approved
79516972,Approved
79517412,Approved
79517722,Approved
79517942,Approved
79517952,Approved
79518022,Approved
79518322,Approved
79521832,Approved
79530122,Approved
79530222,Approved
79530522,Refused
79531242,Approved
79531342,Refused
79531512,Refused
79532702,Refused
79533762,Approved
79540602,Approved
79540762,Approved
79556512,Approved
79558802,Approved
79563612,Approved
79564362,Approved
79564812,Approved
79565572,Approved
79566242,Approved
79567182,Approved
79568782,Approved
79568912,Approved
79569462,Approved
79569472,Approved
79569592,Refused
79570682,Approved
79570932,Approved
79571532,Approved
79571902,Approved
79573062,Approved
79573492,Approved
79573602,Approved
79573992,Approved
79579352,Approved
79582722,Approved
79583622,Approved
79584062,Approved
79585702,Approved
79590582,Approved
79591262,Refused
79591492,Approved
79591782,Approved
79592472,Approved
79594972,Approved
79595902,Refused
79598142,Approved
79600822,Approved
79600892,Approved
79602252,Approved
79604252,Approved
79604992,Approved
79610272,Approved
79622892,Approved
79632902,Approved
79633102,Approved
79633362,Approved
79633972,Approved
79634402,Approved
79641062,Approved
79649762,Approved
79650202,Approved
79651952,Approved
79652682,Approved
79655912,Approved
79663462,Approved
79664242,Approved
79664612,Refused
79666382,Approved
79667162,Approved
79668662,Approved
79669012,Approved
79669142,Approved
79669152,Approved
79669222,Approved
79669502,Approved
79669862,Approved
79670162,Approved
79670282,Approved
79674942,Approved
79678222,Refused
79681332,Approved
79681742,Approved
79682022,Approved
79684782,Approved
79685812,Approved
79685912,Approved
79685992,Approved
79686122,Approved
79686362,Refused
79686632,Approved
79689002,Refused
79689142,Refused
79690172,Approved
79690672,Approved
79690902,Approved
79694872,Approved
79704852,Approved
79707922,Approved
79709352,Approved
79710352,Refused
79711102,Approved
79713342,Approved
79713962,Approved
79719282,Approved
79720092,Approved
79720302,Approved
79721722,Approved
79722082,Approved
79722392,Approved
79722722,Approved
79722792,Approved
79724202,Approved
79724502,Approved
79725392,Approved
79725592,Approved
79726502,Approved
79727392,Approved
79727572,Approved
79727612,Approved
79727722,Approved
79729412,Approved
79733182,Approved
79737572,Approved
79737882,Approved
79740502,Approved
79740972,Approved
79747302,Refused
79747372,Approved
79747412,Approved
79747782,Refused
79747842,Approved
79748372,Refused
79748692,Approved
79749172,Approved
79750472,Approved
79751282,Approved
79752542,Approved
79753052,Approved
79753152,Approved
79753852,Approved
79755212,Refused
79755222,Approved
79755852,Approved
79756042,Approved
79756142,Approved
79757602,Approved
79758172,Approved
79758342,Approved
79759822,Approved
79768542,Refused
79769182,Approved
79770172,Refused
79774932,Refused
79775042,Approved
79775122,Approved
79775292,Approved
79775692,Refused
79776172,Approved
79776532,Approved
79776862,Approved
79777902,Approved
79778502,Approved
79779062,Refused
79780072,Approved
79780172,Approved
79780192,Approved
79781052,Approved
79781352,Approved
79781472,Approved
79782542,Approved
79782942,Approved
79783732,Approved
79785762,Approved
79789692,Approved
79792642,Approved
79793982,Approved
79794462,Approved
79797232,Approved
79798422,Approved
79801452,Approved
79801572,Approved
79802082,Approved
79802522,Approved
79802642,Approved
79802702,Approved
79802712,Approved
79802932,Approved
79803002,Approved
79803072,Approved
79803102,Approved
79803422,Approved
79803542,Refused
79804872,Refused
79805172,Approved
79805912,Approved
79806302,Approved
79806602,Approved
79811042,Approved
79817152,Refused
79817502,Approved
79827222,Approved
79827262,Approved
79827342,Approved
79828052,Approved
79828532,Refused
79830682,Approved
79831112,Refused
79831572,Approved
79832272,Refused
79832342,Approved
79832612,Approved
79833662,Refused
79833972,Approved
79835772,Approved
79836002,Approved
79836312,Approved
79847492,Approved
79849392,Approved
79850232,Approved
79850362,Approved
79850532,Approved
79851502,Refused
79852462,Approved
79852622,Approved
79854712,Approved
79855952,Approved
79856122,Approved
79861002,Approved
79868162,Approved
79872022,Approved
79875862,Approved
79883742,Approved
79883772,Approved
79884022,Approved
79884172,Approved
79884402,Approved
79885082,Approved
79885342,Refused
79886452,Approved
79889062,Approved
79889472,Approved
79890422,Approved
79890562,Approved
79890692,Approved
79891712,Approved
79891722,Approved
79891862,Approved
79891932,Approved
79892132,Approved
79892292,Approved
79893102,Refused
79895072,Approved
79899522,Approved
79900882,Approved
79911602,Approved
79911752,Approved
79912012,Approved
79913762,Approved
79913912,Approved
79914092,Approved
79914132,Refused
79915672,Approved
79915932,Approved
79916332,Refused
79916402,Approved
79917342,Refused
79918952,Approved
79919152,Approved
79920262,Approved
79920392,Approved
79920872,Approved
79921622,Approved
79921942,Approved
79922722,Approved
79931452,Approved
79932032,Approved
79932612,Approved
79932892,Approved
79933072,Approved
79933802,Approved
79937712,Approved
79938112,Approved
79938562,Refused
79938642,Approved
79938782,Refused
79939032,Approved
79939232,Approved
79940322,Refused
79941002,Approved
79941492,Refused
79941522,Refused
79942072,Approved
79942302,Approved
79942572,Approved
79942842,Refused
79943662,Approved
79946182,Refused
79947012,Approved
79947942,Approved
79948042,Approved
79948062,Refused
79948342,Approved
79954032,Approved
79956582,Approved
79961432,Refused
79964912,Approved
79965182,Approved
79965412,Refused
79966252,Approved
79969532,Approved
79969992,Approved
79972672,Approved
79972722,Approved
79972882,Approved
79973162,Approved
79975812,Refused
79982332,Approved
79987032,Approved
79987132,Approved
79987192,Approved
79987462,Approved
79987482,Refused
79987672,Approved
79987732,Approved
79988022,Approved
79988732,Approved
79989102,Approved
79990722,Approved
79991092,Approved
79995492,Approved
79996772,Approved
80000932,Refused
80001722,Refused
80004552,Approved
80004572,Approved
80004612,Approved
80004652,Approved
80004682,Approved
80004712,Approved
80005882,Refused
80006132,Approved
80006232,Approved
80006732,Approved
80007652,Approved
80007722,Approved
80009662,Approved
80009872,Approved
80010142,Approved
80012872,Refused
80015022,Approved
80015742,Approved
80022272,Approved
80022342,Refused
80023082,Approved
80023092,Approved
80023372,Refused
80023882,Approved
80024422,Refused
80025062,Approved
80025072,Refused
80025342,Approved
80025422,Refused
80026022,Approved
80027062,Refused
80027562,Approved
80028002,Approved
80028252,Refused
80029552,Refused
80035652,Approved
80035802,Refused
80035972,Refused
80036072,Refused
80036602,Refused
80042302,Refused
80042432,Refused
80043182,Approved
80043982,Approved
80047682,Approved
80051032,Approved
80052312,Refused
80052842,Refused
80053082,Refused
80053402,Refused
80058292,Approved
80058952,Approved
80059062,Approved
80059212,Approved
80059632,Refused
80059952,Refused
80060082,Approved
80060322,Approved
80061462,Approved
80061582,Refused
80062382,Approved
80065642,Approved
80065842,Approved
80066122,Approved
80067462,Approved
80067882,Approved
80074142,Approved
80082392,Approved
80082542,Approved
80083282,Approved
80083672,Approved
80083962,Approved
80084102,Approved
80084182,Approved
80085182,Approved
80086342,Refused
80087222,Approved
80087442,Approved
80087552,Approved
80087902,Approved
80088662,Approved
80089222,Approved
80089642,Approved
80089892,Approved
80089932,Approved
80090332,Approved
80090832,Approved
80091582,Approved
80091902,Approved
80092962,Approved
80096762,Approved
80098062,Approved
80105642,Approved
80105812,Approved
80105942,Approved
80106062,Refused
80106662,Approved
80106672,Approved
80107562,Approved
80107682,Approved
80108062,Refused
80108502,Approved
80108552,Approved
80108682,Approved
80108732,Approved
80108852,Approved
80108952,Approved
80108992,Approved
80109272,Approved
80109442,Refused
80109692,Refused
80109822,Approved
80110502,Refused
80110592,Approved
80111192,Refused
80113672,Approved
80114052,Approved
80114362,Refused
80114552,Approved
80114702,Approved
80114902,Approved
80115052,Approved
80115102,Approved
80119882,Approved
80119972,Approved
80120822,Approved
80121642,Approved
80122262,Refused
80127282,Approved
80128162,Approved
80128172,Approved
80128532,Approved
80128582,Approved
80128672,Approved
80128982,Approved
80129052,Approved
80129092,Approved
80129292,Approved
80129762,Approved
80129782,Approved
80130472,Approved
80132002,Refused
80134262,Approved
80134682,Refused
80134802,Approved
80137742,Approved
80138062,Approved
80141062,Approved
80144762,Approved
80145942,Approved
80146142,Approved
80146422,Approved
80146682,Approved
80146872,Approved
80147062,Refused
80148092,Approved
80149962,Approved
80151332,Approved
80153192,Approved
80153392,Approved
80159082,Approved
80159792,Approved
80160022,Approved
80160942,Approved
80161422,Approved
80162682,Approved
80164002,Approved
80167212,Approved
80172942,Approved
80173002,Approved
80173222,Approved
80173342,Approved
80173422,Approved
80173592,Approved
80173792,Approved
80173892,Approved
80174142,Approved
80174292,Approved
80174452,Approved
80174672,Approved
80175012,Approved
80175022,Approved
80175102,Approved
80175182,Approved
80175272,Approved
80175302,Refused
80175452,Refused
80175932,Approved
80177782,Approved
80178142,Approved
80178282,Approved
80178342,Approved
80179062,Approved
80179572,Approved
80179882,Refused
80180142,Refused
80180892,Approved
80181192,Approved
80181282,Approved
80189282,Refused
80190692,Approved
80190712,Approved
80197112,Refused
80197282,Approved
80197522,Refused
80197572,Approved
80197592,Approved
80197602,Approved
80197682,Approved
80197692,Approved
80197932,Approved
80198092,Approved
80198202,Approved
80198372,Approved
80198382,Approved
80198432,Refused
80198462,Approved
80198502,Approved
80198512,Approved
80198682,Refused
80198822,Approved
80198982,Approved
80199232,Approved
80199572,Approved
80201172,Approved
80202022,Approved
80202872,Approved
80202972,Refused
80203212,Approved
80204282,Approved
80204922,Approved
80204982,Refused
80206462,Refused
80207412,Refused
80207552,Approved
80207832,Approved
80208842,Approved
80209342,Approved
80209452,Approved
80209592,Refused
80210082,Approved
80210492,Approved
80213252,Approved
80213392,Approved
80215542,Refused
80221102,Approved
80221182,Refused
80221582,Approved
80221692,Refused
80221832,Approved
80221852,Approved
80222052,Approved
80222322,Approved
80222372,Approved
80222552,Approved
80222572,Approved
80222622,Approved
80224722,Approved
80224962,Refused
80225262,Approved
80225792,Approved
80226302,Approved
80227102,Refused
80227232,Approved
80227942,Approved
80229042,Approved
80229382,Approved
80229422,Approved
80229732,Approved
80230362,Approved
80231142,Approved
80232992,Approved
80233052,Approved
80233542,Approved
80235622,Approved
80236632,Refused
80236792,Refused
80239562,Approved
80240512,Approved
80241332,Refused
80243822,Refused
80244932,Approved
80245032,Approved
80245452,Refused
80245792,Approved
80246782,Approved
80246842,Approved
80246962,Refused
80247542,Approved
80247682,Approved
80247822,Approved
80247952,Approved
80248182,Approved
80248242,Approved
80248582,Refused
80248782,Approved
80248992,Approved
80249172,Approved
80250032,Refused
80251002,Refused
80251432,Refused
80252852,Refused
80254352,Approved
80254522,Approved
80254672,Approved
80254812,Approved
80255052,Approved
80258272,Refused
80263982,Approved
80264362,Refused
80264462,Approved
80264472,Approved
80264612,Approved
80264722,Approved
80265032,Refused
80265562,Refused
80267022,Refused
80267532,Refused
80267832,Approved
80268172,Refused
80268262,Refused
80268432,Approved
80268462,Refused
80268512,Approved
80268852,Approved
80269152,Approved
80269372,Refused
80269442,Refused
80269642,Approved
80269942,Approved
80270152,Refused
80270992,Refused
80271322,Approved
80271472,Approved
80271832,Refused
80271882,Approved
80272012,Approved
80272302,Approved
80275812,Approved
80275862,Approved
80275922,Approved
80275992,Approved
80276132,Approved
80276262,Approved
80276312,Approved
80276662,Refused
80276722,Refused
80277332,Approved
80278172,Approved
80278862,Approved
80279222,Approved
80280962,Refused
80280972,Approved
80281232,Approved
80281392,Approved
80281482,Refused
80281542,Refused
80282262,Refused
80282462,Refused
80283362,Approved
80283392,Approved
80283462,Refused
80283492,Refused
80283622,Refused
80283652,Approved
80283922,Refused
80284402,Approved
80284832,Approved
80285212,Approved
80285632,Refused
80286952,Approved
80288252,Refused
80288922,Approved
80295042,Approved
80295432,Refused
80298422,Refused
80299272,Refused
80299962,Refused
80300782,Refused
80303392,Approved
80305912,Approved
80306132,Approved
80307392,Refused
80311362,Approved
80311472,Refused
80312152,Approved
80312222,Approved
80312292,Approved
80312712,Approved
80312842,Approved
80313182,Approved
80313242,Approved
80313272,Approved
80313412,Approved
80313452,Approved
80313592,Approved
80313732,Approved
80314032,Approved
80314122,Refused
80314222,Refused
80314672,Approved
80314732,Approved
80314872,Refused
80315402,Refused
80316032,Approved
80316402,Approved
80316592,Refused
80316672,Approved
80317542,Approved
80317722,Approved
80317812,Refused
80318242,Approved
80319102,Approved
80319642,Approved
80319802,Approved
80320152,Approved
80321262,Approved
80323332,Approved
80324362,Approved
80324532,Approved
80325342,Approved
80326052,Approved
